,PLOTNO,MONTH,YEAR,SPPNO,RAINTRT,DISPERSION,BLOCK,SUBBLOCK,DISPERSION.FOURLEVELS,FLUX.umolCO2.m2.s,FLUX.mgCO2C.m2.h,Exp.R2,Moisture.Calc,Moisture.Calc2,VWC.perc,VWC.perc2,Temp.C,PROPTOTPLOT,DryWt.g.m2,lnRootBiomass,MB.mg.gdw
1,1,5,2020,5,50,OVER,EAST,A,OVER,3.2,138.24,0.9992,11.1538,124.4072544,NA,NA,NA,0.3275,438.9120137,6.084298969,5.025528036
2,2,5,2020,3,50,UNDER,EAST,A,AST,7.17,309.744,0.9848,10.9562,120.0383184,NA,NA,NA,0.73,363.3040689,5.895240139,4.641292651
3,3,5,2020,1,50,UNDER,EAST,A,FAB,2.24,96.768,0.9759,10.77836,116.1730443,NA,NA,NA,0.05,177.704984,5.180124782,3.970282121
4,4,5,2020,6,50,UNDER,EAST,A,AST,3.57,154.224,0.9833,10.83764,117.4544408,NA,NA,NA,0.685,732.3971451,6.596322915,5.158898682
5,5,5,2020,1,50,UNDER,EAST,A,POA,3.52,152.064,0.9897,11.62804,135.2113142,NA,NA,NA,0.5,562.7616866,6.332856247,5.154369961
6,6,5,2020,1,50,UNDER,EAST,A,AST,3.18394,137.546208,0.999518,11.31682,128.0704149,NA,NA,NA,0.17,294.1868293,5.684215039,4.508391669
7,7,5,2020,2,50,OVER,EAST,A,OVER,5.91,255.312,0.9866,11.22296,125.9548312,NA,NA,NA,0.155,306.6419664,5.725680834,5.94823297
8,8,5,2020,3,50,UNDER,EAST,A,FAB,4.46,192.672,0.9821,10.92656,119.3897134,NA,NA,NA,0.35,2451.381487,7.804407017,5.662094958
9,9,5,2020,6,50,OVER,EAST,A,OVER,5,216,0.9819,11.5737,133.9505317,NA,NA,NA,0.245,324.3598375,5.781853509,4.779844857
10,10,5,2020,2,50,OVER,EAST,A,OVER,3.86,166.752,0.9797,11.39092,129.7530584,NA,NA,NA,0.17,552.5870676,6.314611009,5.728620757
11,11,5,2020,1,50,UNDER,EAST,A,FAB,2.79,120.528,0.9886,12.05288,145.2719163,NA,NA,NA,0.15,295.0639516,5.687192118,6.085179534
12,12,5,2020,2,50,UNDER,EAST,A,FAB,2.95,127.44,0.9847,12.20108,148.8663532,NA,NA,NA,0.13,138.5853281,4.931486223,5.722434159
13,13,5,2020,1,50,UNDER,EAST,A,POA,1.74,75.168,0.9927,12.52712,156.9287355,NA,NA,NA,0.15,134.1997164,4.899329111,5.381563395
14,14,5,2020,1,50,UNDER,EAST,A,AST,2.78,120.096,0.9902,11.9936,143.846441,NA,NA,NA,0.005,392.0736813,5.971449785,5.579532541
15,15,5,2020,2,50,OVER,EAST,A,OVER,5.33,230.256,0.9814,12.7099,161.541558,NA,NA,NA,0.75,616.2661487,6.42367893,6.227438124
16,16,5,2020,2,50,UNDER,EAST,A,POA,5.09,219.888,0.9811,12.64074,159.7883077,NA,NA,NA,0.75,3399.024451,8.131243743,7.660242834
17,17,5,2020,3,50,OVER,EAST,A,OVER,3.95,170.64,0.9898,12.63086,159.5386243,NA,NA,NA,0.54,1187.799059,7.079857343,8.374918822
18,18,5,2020,6,50,UNDER,EAST,A,FAB,3.14,135.648,0.9854,12.8087,164.0627957,NA,NA,NA,0.4025,88.58935528,4.484011707,5.963299985
19,19,5,2020,2,50,UNDER,EAST,A,AST,6.63,286.416,0.9802,13.09522,171.4847868,NA,NA,NA,0.52,219.8068558,5.392749233,6.234728974
20,20,5,2020,2,50,OVER,EAST,A,OVER,4.27,184.464,0.9839,12.8334,164.6961556,NA,NA,NA,0.1,471.8918133,6.15674975,4.926502467
21,21,5,2020,5,150,OVER,EAST,A,OVER,8.35,360.72,0.984,13.1051,171.743646,NA,NA,NA,0.4025,368.2159539,5.908669597,7.029422123
22,22,5,2020,3,150,UNDER,EAST,A,AST,4.31,186.192,0.9863,13.26812,176.0430083,NA,NA,NA,0.57,662.7536322,6.496403326,13.74515935
23,23,5,2020,1,150,UNDER,EAST,A,FAB,4.44,191.808,0.9829,12.5864,158.417465,NA,NA,NA,0.07,105.6055285,4.659710723,3.649135575
24,24,5,2020,6,150,UNDER,EAST,A,AST,2.49,107.568,0.9854,13.28294,176.436495,NA,NA,NA,0.6325,575.9185216,6.355966195,16.8412737
